ano,rodada,time_casa,time_fora,gcasa,gfora
2003,15,vitoria_ba,atletico_pr,1,0,
2003,15,criciuma_sc,paysandu_pa,2,0,
2003,15,cruzeiro_mg,inter_rs,3,2,
2003,15,parana_pr,atletico_mg,1,1,
2003,15,goiás_go,pontepreta_sp,0,0,
2003,16,saopaulo_sp,saocaetano_sp,1,1,
2003,16,vasco_rj,parana_pr,1,4,
2003,16,figueirense_sc,cruzeiro_mg,1,0,
2003,16,atletico_mg,paysandu_pa,3,2,
2003,16,gremio_rs,flamengo_rj,2,0,
2003,16,vitoria_ba,pontepreta_sp,1,4,
2003,16,guarani_sp,goiás_go,3,2,
2003,16,atletico_pr,corinthians_sp,3,1,
2003,16,fortaleza_ce,criciuma_sc,0,1,
2003,16,juventude_rs,inter_rs,1,1,
2003,16,fluminense_rj,bahia_ba,1,0,
2003,16,santos_sp,coritiba_pr,3,1,
2003,17,pontepreta_sp,fluminense_rj,3,0,
2003,17,criciuma_sc,atletico_mg,1,0,
2003,17,parana_pr,gremio_rs,3,1,
2003,17,corinthians_sp,santos_sp,1,1,
2003,17,saocaetano_sp,atletico_pr,0,0,
2003,17,paysandu_pa,figueirense_sc,1,0,
2003,17,goiás_go,vitoria_ba,1,1,
2003,17,cruzeiro_mg,fortaleza_ce,2,0,
2003,17,bahia_ba,guarani_sp,2,0,
2003,17,flamengo_rj,juventude_rs,2,1,
2003,17,coritiba_pr,saopaulo_sp,0,2,
2003,17,inter_rs,vasco_rj,2,1,
2003,18,fortaleza_ce,inter_rs,3,0,
2003,18,atletico_pr,goiás_go,0,0,
2003,18,vasco_rj,paysandu_pa,0,2,
2003,18,atletico_mg,flamengo_rj,1,0,
2003,18,pontepreta_sp,bahia_ba,1,0,
2003,18,corinthians_sp,coritiba_pr,0,1,
2003,18,criciuma_sc,juventude_rs,3,0,
2003,18,fluminense_rj,saopaulo_sp,1,3,
2003,18,saocaetano_sp,guarani_sp,0,2,
2003,18,figueirense_sc,parana_pr,4,2,
2003,18,vitoria_ba,santos_sp,2,0,
2003,18,gremio_rs,cruzeiro_mg,0,1,
2003,19,bahia_ba,saocaetano_sp,0,0,
2003,19,flamengo_rj,fortaleza_ce,0,2,
2003,19,guarani_sp,vitoria_ba,2,2,
2003,19,inter_rs,atletico_mg,3,3,
2003,19,coritiba_pr,fluminense_rj,3,0,
2003,19,juventude_rs,figueirense_sc,1,2,
2003,19,santos_sp,pontepreta_sp,2,1,
2003,19,cruzeiro_mg,vasco_rj,4,1,
2003,19,goiás_go,corinthians_sp,1,1,
2003,19,saopaulo_sp,atletico_pr,2,0,
2003,19,paysandu_pa,gremio_rs,1,1,
2003,19,parana_pr,criciuma_sc,2,1,
2003,20,corinthians_sp,guarani_sp,1,0,
2003,20,fortaleza_ce,atletico_mg,4,3,
2003,20,fluminense_rj,santos_sp,1,4,
2003,20,inter_rs,figueirense_sc,3,0,
2003,20,vitoria_ba,saopaulo_sp,0,2,
2003,20,pontepreta_sp,coritiba_pr,1,1,
2003,20,juventude_rs,paysandu_pa,2,0,
2003,20,criciuma_sc,flamengo_rj,4,3,
2003,20,goiás_go,saocaetano_sp,2,1,
2003,20,atletico_pr,bahia_ba,2,1,
2003,20,cruzeiro_mg,parana_pr,5,1,
2003,20,vasco_rj,gremio_rs,2,0,
2003,21,atletico_mg,juventude_rs,2,1,
2003,21,guarani_sp,atletico_pr,1,0,
2003,21,paysandu_pa,cruzeiro_mg,3,0,
2003,21,parana_pr,fortaleza_ce,4,1,
2003,21,bahia_ba,corinthians_sp,0,0,
2003,21,santos_sp,goiás_go,3,3,
2003,21,figueirense_sc,vasco_rj,0,0,
2003,21,saopaulo_sp,pontepreta_sp,1,2,
2003,21,flamengo_rj,inter_rs,2,1,
2003,21,gremio_rs,criciuma_sc,0,2,
2003,21,saocaetano_sp,fluminense_rj,2,0,
2003,21,coritiba_pr,vitoria_ba,1,1,
2003,22,santos_sp,vasco_rj,2,1,
2003,22,goiás_go,atletico_mg,1,1,
2003,22,atletico_pr,paysandu_pa,1,1,
2003,22,vitoria_ba,parana_pr,0,3,
2003,22,corinthians_sp,gremio_rs,1,0,
2003,22,criciuma_sc,coritiba_pr,2,3,
2003,22,guarani_sp,figueirense_sc,3,0,
2003,22,juventude_rs,fluminense_rj,2,1,
2003,22,flamengo_rj,saopaulo_sp,1,1,
2003,22,inter_rs,saocaetano_sp,0,0,
2003,22,cruzeiro_mg,bahia_ba,5,2,
2003,22,fortaleza_ce,pontepreta_sp,2,3,
2003,23,gremio_rs,santos_sp,2,0,
2003,23,fluminense_rj,cruzeiro_mg,2,2,
2003,23,saopaulo_sp,inter_rs,0,2,
2003,23,saocaetano_sp,juventude_rs,1,1,
2003,23,figueirense_sc,goiás_go,0,1,
2003,23,parana_pr,corinthians_sp,1,1,
2003,23,paysandu_pa,guarani_sp,6,1,
2003,23,pontepreta_sp,flamengo_rj,1,1,
2003,23,bahia_ba,criciuma_sc,2,2,
2003,23,coritiba_pr,fortaleza_ce,1,1,
2003,23,atletico_mg,vitoria_ba,1,0,
2003,23,vasco_rj,atletico_pr,2,1,
2003,24,juventude_rs,pontepreta_sp,0,0,
2003,24,atletico_pr,parana_pr,1,0,
2003,24,fortaleza_ce,fluminense_rj,3,1,
2003,24,criciuma_sc,saocaetano_sp,0,1,
2003,24,vitoria_ba,paysandu_pa,1,1,
2003,24,goiás_go,vasco_rj,3,1,
2003,24,cruzeiro_mg,saopaulo_sp,1,1,
2003,24,santos_sp,atletico_mg,3,3,
2003,24,inter_rs,coritiba_pr,1,0,
2003,24,flamengo_rj,bahia_ba,6,0,
2003,24,corinthians_sp,figueirense_sc,0,1,
2003,24,guarani_sp,gremio_rs,2,0,
2003,25,atletico_mg,corinthians_sp,2,3,
2003,25,coritiba_pr,flamengo_rj,5,0,
2003,25,figueirense_sc,vitoria_ba,1,2,
2003,25,bahia_ba,fortaleza_ce,1,0,
2003,25,pontepreta_sp,inter_rs,1,4,
2003,25,paysandu_pa,goiás_go,2,2,
2003,25,gremio_rs,atletico_pr,1,1,
2003,25,vasco_rj,guarani_sp,0,0,
2003,25,fluminense_rj,criciuma_sc,1,1,
2003,25,parana_pr,santos_sp,1,2,
2003,25,saocaetano_sp,cruzeiro_mg,2,0,
2003,25,saopaulo_sp,juventude_rs,3,1,
2003,26,vasco_rj,vitoria_ba,1,0,
2003,26,bahia_ba,inter_rs,1,3,
2003,26,figueirense_sc,santos_sp,1,0,
2003,26,coritiba_pr,juventude_rs,1,0,
2003,26,atletico_mg,atletico_pr,1,2,
2003,26,saopaulo_sp,criciuma_sc,0,0,
2003,26,saocaetano_sp,fortaleza_ce,3,0,
2003,26,gremio_rs,goiás_go,0,1,
2003,26,pontepreta_sp,cruzeiro_mg,1,3,
2003,26,parana_pr,guarani_sp,0,0,
2003,26,paysandu_pa,corinthians_sp,2,2,
2003,26,fluminense_rj,flamengo_rj,0,1,
2003,27,juventude_rs,bahia_ba,1,0,
2003,27,goiás_go,parana_pr,1,0,
2003,27,flamengo_rj,saocaetano_sp,1,0,
2003,27,cruzeiro_mg,coritiba_pr,2,2,
